ds,yhat,forecast_type
2023-08-07,0.0045647482,history
2023-08-14,0.0023561151000000002,history
2023-08-21,0.0033788968999999996,history
2023-09-04,0.001528776975,history
2023-09-11,0.0093381295,history
2023-09-18,0.004053956825,history
2023-09-25,0.0031942446,history
2023-10-02,0.0069640288,history
2024-12-30,0.0061366906,history
2025-01-06,0.005798561133333334,history
2025-01-13,0.004705036,history
2025-01-20,0.014115107933333334,history
2025-01-27,0.0025143885,history
2025-02-03,0.03888129497500001,history
2025-02-10,0.0756930126,history
2025-02-17,0.014974574975,history
2025-02-24,0.009007898,history
2025-03-03,0.007103941583333333,history
2025-03-10,0.009806907914285715,history
2025-03-17,0.0071735395250000005,history
2025-03-24,0.0456242841,history
2025-04-07,0.0367812142,history
2025-04-14,0.017147766300000002,history
2025-04-21,0.0055441008,history
2025-04-28,0.013982436066666668,history
2025-05-05,0.04533791525,history
2026-01-05,0.003971223,history
2026-01-12,0.0004388489,history
2026-01-19,0.0001942446,history
2026-01-26,0.0037769784,history
2026-02-02,0.01537769785,history
2026-02-16,0.0095143885,history
2026-02-23,0.009942446,history
2026-03-02,0.0126978417,history
2026-03-09,0.012544364533333333,history
2026-03-16,0.00849280575,history
2026-03-23,0.01286690645,history
2026-03-30,0.01074460435,history
2026-04-06,0.008949640299999999,history
2026-04-13,0.010834532400000001,history
2026-04-20,0.010848920875,future
2026-04-27,0.010848920875,future
2026-05-04,0.010848920875,future
2026-05-11,0.010848920875,future
2026-05-18,0.010848920875,future
2026-05-25,0.010848920875,future
2026-06-01,0.010848920875,future
2026-06-08,0.010848920875,future
