business_name,sector,followers_count,post_date,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,posting_hour,discount_percent,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate
REXOS Café & Restaurant,Cafes/Restaurants,42000,1776902400000,Thursday,1,post,مش بس مطعم… تجربة إيطالية أصلية 🇮🇹🍕 من أول لقمة بتحس حالك بإيطاليا! عجينة بتنزاد جودة بالتخمير الطويل، صوص غني، ومكونات مختارة بعناية ❤️ منستناكم كل يوم من الساعة 10:00 صباحاً 🌞 📍 نابلس رفيديا-الشارع الرئيسي,223,0,6,8.0,1,1500,Arabic,True,True,True,False,False,True,0,0,0,9.0,0.0002142857,0.0001904762,2.38095e-05,0.0357142857,0.006,2026-04-20/2026-04-26,0,0,night,long,none,many,low,medium,0,0,0
REXOS Café & Restaurant,Cafes/Restaurants,42000,1773532800000,Sunday,1,post,اخر ايام الشهر المبارك ✨🌙 نستقبلكم بمطعم ريكسوس للافطار الرمضاني ❤️🌙 منيو افطار يوم الاثنين 😍 احجزو وكوني كتار✨ 📍 موقعنا: نابلس رفيديا الشارع الرئيسي,166,0,6,1.0,0,1500,Arabic,True,True,True,True,False,True,0,0,0,1.0,2.38095e-05,2.38095e-05,0.0,0.0357142857,0.0006666667,2026-03-09/2026-03-15,0,0,night,long,none,many,low,medium,0,0,0
REXOS Café & Restaurant,Cafes/Restaurants,42000,1771545600000,Friday,1,post,We are waiting for you to come and have coffee.✨☕️🍫,59,0,3,3.0,0,1500,English,True,False,False,False,False,False,0,0,0,3.0,7.142860000000001e-05,7.142860000000001e-05,0.0,0.0357142857,0.002,2026-02-16/2026-02-22,0,0,night,short,none,few,low,medium,0,0,0
REXOS Café & Restaurant,Cafes/Restaurants,42000,1766880000000,Sunday,1,post,🎅🎄2025-12-31 فتحنا ابواب الحجوزات ضروري تحجزو رح يكون عنا Dinner set من الساعة 9:00-12:00🔥 للحجز والاستفسار: عن طريق رسائل الصفحة او على رقمنا☎️0597600024,181,0,5,6.0,0,1500,Mixed,True,True,False,False,False,True,0,0,0,6.0,0.0001428571,0.0001428571,0.0,0.0357142857,0.004,2025-12-22/2025-12-28,0,0,night,long,none,many,low,medium,0,0,0
REXOS Café & Restaurant,Cafes/Restaurants,42000,1765843200000,Tuesday,1,post,المباراة الحاسمة 🔥 الاردن VS العراق 🇯🇴🇮🇶 الحجوزات بلشت تقل… سارعوا للحجز لتعيشوا اجواء المباراة معنا✨ ⚠️ولا تنسو اللي يتوقع نتيجة المباراة رح يكون في جوائز وخصومات من مطعم ريكسوس ومحلات Arena للالبسة و شركة Mas store 😋 للحجز والاستفسار : عن طريق رسائل الصفحة او على الرقم ☎️0597600024,333,0,7,11.0,200,1500,Arabic,True,True,False,False,True,True,0,0,0,211.0,0.0050238095,0.00026190480000000003,0.0047619048,0.0357142857,0.1406666667,2025-12-15/2025-12-21,0,0,night,long,none,many,high,medium,1,0,1
REXOS Café & Restaurant,Cafes/Restaurants,42000,1765670400000,Sunday,1,post,بكرا مباراة الاردن 🇯🇴 VS السعودية 🇸🇦 اجواء حماسية ونفقة حلوة بمطعم ريكسوس 😍🔥⚽️ ⚠️⚠️ اللي يتوقع نتيجة المباراة رح يدخل السحب على هدايا وخصومات من شركة Mas store ومحلات Arena للملابس 🧸🛍️ احجزو مكانكم من هلا وكونو معنا بكل لحظة 😍 للحجز اما عن طريق رسائل الصفحة او الواتساب على رقم ☎️0597600024,350,0,10,66.0,284,1500,Arabic,True,True,False,False,True,True,0,0,0,350.0,0.0083333333,0.0015714286000000001,0.0067619048,0.0357142857,0.2333333333,2025-12-08/2025-12-14,0,0,night,long,none,many,high,medium,1,0,1
REXOS Café & Restaurant,Cafes/Restaurants,42000,1752019200000,Wednesday,1,post,التوجيهي خلص، والخصم بلش! 🤩 قررنا بريكسوس نكافئ كل طلاب التوجيهي ونعطيهم خصم 15% على الفاتورة 💯 بعد التعب، تعالو انبسطوا بأشهى الأكلات وخصم مرتب 😍 📍 موقعنا نابلس رفيديا الشارع الرئيسي,208,0,6,1.0,0,1500,Arabic,True,True,True,False,False,True,0,0,0,1.0,2.38095e-05,2.38095e-05,0.0,0.0357142857,0.0006666667,2025-07-07/2025-07-13,0,0,night,long,none,many,low,medium,0,0,0
REXOS Café & Restaurant,Cafes/Restaurants,42000,1749168000000,Friday,1,post,عيد أضحى مبارك من عائلة مطعم Rexos 😍✨ نتمنى ان يكون عيدكم مليئاً بالفرح والسعادة❤️ كل عام وانتم بخير، ونسأل الله أن يعيده عليكم باليمن والبركات.. ❤️ منستقبلكم من ثاني ايام العيد يوم السبت ❤️ 📍 موقعنا نابلس رفيديا الشارع الرئيسي,267,0,7,7.0,0,1500,Arabic,True,False,True,True,False,True,0,0,0,7.0,0.00016666670000000001,0.00016666670000000001,0.0,0.0357142857,0.0046666667000000005,2025-06-02/2025-06-08,0,0,night,long,none,many,low,medium,0,0,0
REXOS Café & Restaurant,Cafes/Restaurants,42000,1745971200000,Wednesday,1,post,MATCHA is here ❤️🥺🔥 Available in 4 flavors at the main branch: -Iced Matcha Latte -Matcha Frappuccino -Strawberry Matcha -Iced matcha,154,0,3,6.0,0,1500,English,False,True,False,False,False,False,0,0,0,6.0,0.0001428571,0.0001428571,0.0,0.0357142857,0.004,2025-04-28/2025-05-04,0,0,night,long,none,few,low,medium,0,0,0
REXOS Café & Restaurant,Cafes/Restaurants,42000,1733184000000,Tuesday,1,post,طبق جديد من صنع مطعم ريكسوس❤️ فخاد الدجاج مع الباربيكيو صلصة بتاخذك بتجربة الطعم الجديد ✨ 📍موقعنا: نابلس رفيديا الشارع الرئيسي🌸,146,0,4,14.0,0,1500,Arabic,True,True,True,False,False,True,0,0,0,14.0,0.0003333333,0.0003333333,0.0,0.0357142857,0.0093333333,2024-12-02/2024-12-08,0,0,night,long,none,many,low,medium,0,0,0
REXOS Café & Restaurant,Cafes/Restaurants,42000,1778198400000,Friday,1,reel,احنا منستناكم تعيشو معنا اجواء الكلاسيكو 🏀🎊,46,0,2,2.0,0,25000,Arabic,False,False,False,False,False,True,0,0,0,2.0,4.7619000000000006e-05,4.7619000000000006e-05,0.0,0.5952380952,8e-05,2026-05-04/2026-05-10,0,1,night,short,none,few,low,medium,0,0,0
REXOS Café & Restaurant,Cafes/Restaurants,42000,1778025600000,Wednesday,1,reel,الهروب المثالي من جو الصيف، مشروب منعش من Rexos 🌞🔥 خصوصاً لما يكون مع حركة وبرودة كفيلة تغيّر مودك كله ❄️,117,0,5,8.0,0,829,Arabic,False,True,False,False,False,True,0,0,0,8.0,0.0001904762,0.0001904762,0.0,0.0197380952,0.009650180900000001,2026-05-04/2026-05-10,0,1,night,medium,none,many,low,medium,0,0,0
