cluster_id,business_name,sector,post_type,caption_text,likes_count,comments_count,views_count,engagement_rate,view_rate,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
-1,Family Market PS,Supermarkets,reel,☀️ صباح الخير | السبت 2.5.2026 ☀️ أهلاً وسهلاً بأهلنا من الداخل الفلسطيني ❤️ شرفتونا دعاء اليوم: اللهم ارزقنا في هذا اليوم راحة بال ورزقاً واسعاً وخيراً لا ينقطع 🤍,3221.0,15,127000,1.3700254022,53.7679932261,1,0,1,1,1,1
-1,Family Market PS,Supermarkets,reel,صباحكم معطر بالصلاة على سيدنا محمد ﷺ 🌿 السبت 18.4.2026 اللهم في هذا الصباح اجعل لنا فيه فرجاً لكل هم وسعادةً تملأ قلوبنا واكتب لنا الخير أينما كان وارضنا به 🤲✨,2609.0,14,140000,1.1104995766,59.2718035563,1,0,1,1,0,1
-1,Family Market PS,Supermarkets,reel,صباحكم معطر بالصلاة على سيدنا محمد ﷺ 🌿 الأربعاء 22.4.2026 اللهم في هذا الصباح افتح لنا أبواب الخير ويسر لنا أمورنا واغفر لقلوبنا السكينة وارزقنا من حيث لا نحتسب 🤲✨,2164.0,4,82300,0.9178662151,34.8433530906,1,0,1,1,0,1
-1,Family Market PS,Supermarkets,reel,زيارة أهلنا من القدس وضواحيها لسوبر ماركت العائلات اليوم ❤️ أهلاً وسهلاً بكم شكراً لأهلنا أم عتاب الداخلة ❤️,1678.0,83,274000,0.7455546147000001,116.0033869602,0,0,1,0,1,1
-1,Family Market PS,Supermarkets,reel,☀️ صباح الخير | الثلاثاء 5.5.2026 ☀️ دعاء اليوم: اللهم اجعل هذا اليوم بداية خير، وارزقنا فيه توفيقاً يرافقنا وسعادةً تملأ قلوبنا وطمأنينة لا تفارقنا 🤍 العنوان: نابلس - رفيديا - الشارع الرئيسي بجانب بنك فلسطين,1654.0,4,41400,0.7019475021,17.5275190517,1,0,1,1,0,1
-1,Family Market PS,Supermarkets,reel,☀️ صباح الخير | السبت 25.4.2026 🤍 صباح بداية جديدة وأمل يتجدد دعاء الصباح: اللهم اجعل لنا من كل ضيق مخرجاً، ومن كل هم فرجاً، وارزقنا راحةً تملأ قلوبنا 🤍,1368.0,3,66600,0.5804403048,28.1964436918,1,0,1,1,0,1
-1,Family Market PS,Supermarkets,reel,☀️ صباح الخير | السبت 9.5.2026 ☀️ دعاء اليوم: اللهم ارزقنا في هذا اليوم فرحة تُنسينا التعب، ودعوة مستجابة، ورزقاً مباركاً، واحفظ لنا أهلنا وأحبابنا من كل سوء 🤍✨ العنوان: نابلس - رفيديا - الشارع الرئيسي بجانب بنك فلسطين,1221.0,69,35800,0.5461473328,15.1566469094,1,0,1,1,1,1
-1,Family Market PS,Supermarkets,reel,صباحكم سعيد 🌿 العنوان: نابلس - رفيديا - الشارع الرئيسي بجانب بنك فلسطين,1098.0,39,44200,0.4813717189,18.7129551228,1,0,1,0,1,1
-1,Family Market PS,Supermarkets,reel,☀️ صباح الخير | الاثنين 27.4.2026 🤍 صباح مليان تفاؤل وبدايات حلوة دعاء الصباح: اللهم اجعل لنا دوراً في قلوب من نحب، وبركةً في أعمارنا، واكتب لنا الخير حيث كان 🤍,1057.0,2,51400,0.44834885690000004,21.7612193057,1,0,1,1,0,1
-1,Family Market PS,Supermarkets,reel,صباحكم معطر بالصلاة على سيدنا محمد ﷺ 🌿 الثلاثاء 14.4.2026 اللهم اجعل لنا فيه رزقاً يملأ قلوبنا فرحاً ويسعد به أيامنا ووفقنا ببركة دعواتنا 🤲✨,955.0,4,35400,0.40601185440000004,14.9872988992,1,0,1,1,0,1
-1,Family Market PS,Supermarkets,reel,🌿 جمعة مباركة | الجمعة 24.4.2026 🌿 اللهم في هذا اليوم المبارك اجعل لنا فيه بركة لا تزول، وارزقنا رزقاً لا ينفد، واكتب لنا الخير حيث كان 🤍,905.0,0,53600,0.38314987300000003,22.6926333616,1,0,1,1,0,1
-1,Family Market PS,Supermarkets,reel,صباحكم معطر بالصلاة على سيدنا محمد ﷺ 🌿 الاثنين 20.4.2026 اللهم في هذا الصباح ارزقنا راحة البال وطمأنينة القلب وحقق لنا ما نرجو واكتب لنا أياماً مليئة بالخير والبركة 🤲✨,772.0,26,28600,0.3378492803,12.1083827265,1,0,1,1,0,1
-1,Family Market PS,Supermarkets,reel,صباحكم معطر بالصلاة على سيدنا محمد ﷺ 🌿 الخميس 16.4.2026 اللهم في هذا الصباح اجعل لنا فيه نصيباً من كل خير وابعث في قلوبنا راحة لا تزول وحقق لنا ما نتمنى 🤲✨,707.0,27,31400,0.3107535986,13.2938187976,1,0,1,1,0,1
-1,Family Market PS,Supermarkets,reel,🌿 الأربعاء 22.4.2026 العنوان: نابلس - رفيديا - الشارع الرئيسي بجانب بنك فلسطين,630.0,18,32900,0.2743437765,13.9288738357,1,0,1,0,1,1
-1,Robian Restaurant,Cafes/Restaurants,post,صحن نودلز وخضار مقرمشه مع الدجاج او الشريمبس، وعيش جو وبوارات تدفي القلب ❤️ 026638484 مطعم روبيان - القدس #نودلز_روبيان 🍜 التوصيل متاح الى كل مناطق #القدس,920.0,7,1400000,0.1426153846,215.3846153846,1,1,1,0,1,1
-1,Robian Restaurant,Cafes/Restaurants,post,الأفضل يعني الأفضل #سوشي_روبيان ✅ القدس - شقفاط - الشارع الرئيسي 026638484,894.0,14,1400000,0.13969230770000002,215.3846153846,1,1,1,0,1,1
-1,Vanilla Palestine,Cafes/Restaurants,reel,New year new me 😲😲😲,18600.0,725,662000,0.13902877700000002,4.7625899281,0,0,0,0,0,0
-1,Robian Restaurant,Cafes/Restaurants,post,الأفضل يعني الأفضل #سوشي_روبيان ✅ القدس - شقفاط - الشارع الرئيسي 026638484,863.0,12,1400000,0.1346153846,215.3846153846,1,1,1,0,1,1
-1,Hulk Gym / Diaa Shabaro,Gym,reel,220 * 3 كسرنا وزن جديد الحمدلله 🔥🙏 صاروا عاليمين 😵‍💫,319.0,4,16700,0.13435940100000002,6.9467554076999996,0,0,0,1,0,1
