min_support,min_confidence,min_lift,max_antecedent_len,frequent_itemsets_count,valid_rules_before_filtering,final_rule_count,high_view_rate_rule_count,avg_lift,max_lift,avg_confidence,max_confidence,avg_confidence_lower_bound,max_confidence_lower_bound
0.01,0.4,1.0,3,4662,30447,1434,87,2.8011545210654814,3.9444444444444446,0.9536493270018375,1.0,0.22062795250881315,0.6755843804891231
0.01,0.4,1.2,3,4662,30447,1433,87,2.802349937615168,3.9444444444444446,0.9540046688598678,1.0,0.22056601312780713,0.6755843804891231
0.01,0.4,1.5,3,4662,30447,1343,87,2.8995672030573223,3.9444444444444446,0.9844294046732618,1.0,0.2288736780162864,0.6755843804891231
0.01,0.5,1.0,3,4662,30344,1432,86,2.803205085771479,3.9444444444444446,0.9543915436286247,1.0,0.22054831904251876,0.6755843804891231
0.01,0.5,1.2,3,4662,30344,1432,86,2.803205085771479,3.9444444444444446,0.9543915436286247,1.0,0.22054831904251876,0.6755843804891231
0.01,0.5,1.5,3,4662,30344,1342,86,2.900552143016547,3.9444444444444446,0.9848648960329288,1.0,0.2288609878037346,0.6755843804891231
0.01,0.6,1.0,3,4662,26245,1333,78,2.9070665263555213,3.9444444444444446,0.9880968754093284,1.0,0.22930661597263932,0.6755843804891231
0.01,0.6,1.2,3,4662,26245,1333,78,2.9070665263555213,3.9444444444444446,0.9880968754093284,1.0,0.22930661597263932,0.6755843804891231
0.01,0.6,1.5,3,4662,26245,1333,78,2.9070665263555213,3.9444444444444446,0.9880968754093284,1.0,0.22930661597263932,0.6755843804891231
0.01,0.4,2.0,3,4662,30447,1330,78,2.909175197718228,3.9444444444444446,0.9888219059553646,1.0,0.22935545430537502,0.6755843804891231
0.01,0.5,2.0,3,4662,30344,1330,78,2.909175197718228,3.9444444444444446,0.9888219059553646,1.0,0.22935545430537502,0.6755843804891231
0.01,0.6,2.0,3,4662,26245,1330,78,2.909175197718228,3.9444444444444446,0.9888219059553646,1.0,0.22935545430537502,0.6755843804891231
0.01,0.4,1.0,2,1924,5431,456,57,2.777092885245321,3.9444444444444446,0.9312521755778334,1.0,0.22878327619462668,0.6755843804891231
0.01,0.4,1.2,2,1924,5431,455,57,2.780804907838467,3.9444444444444446,0.9323220826792256,1.0,0.22860612496540522,0.6755843804891231
0.01,0.4,1.5,2,1924,5431,422,57,2.8928654539626764,3.9444444444444446,0.9661292597607763,1.0,0.2386496989256723,0.6755843804891231
0.01,0.5,1.0,2,1924,5386,454,56,2.783454747331993,3.9444444444444446,0.9334945982798405,1.0,0.22856802404404966,0.6755843804891231
0.01,0.5,1.2,2,1924,5386,454,56,2.783454747331993,3.9444444444444446,0.9334945982798405,1.0,0.22856802404404966,0.6755843804891231
0.01,0.5,1.5,2,1924,5386,421,56,2.895989177659078,3.9444444444444446,0.9674739848433435,1.0,0.2386324679415033,0.6755843804891231
0.01,0.6,1.0,2,1924,4712,413,49,2.914678861308469,3.9444444444444446,0.9763946539067604,1.0,0.23993479689368072,0.6755843804891231
0.01,0.6,1.2,2,1924,4712,413,49,2.914678861308469,3.9444444444444446,0.9763946539067604,1.0,0.23993479689368072,0.6755843804891231
0.01,0.6,1.5,2,1924,4712,413,49,2.914678861308469,3.9444444444444446,0.9763946539067604,1.0,0.23993479689368072,0.6755843804891231
