source_row,view_rate,view_rate_bin,hashtags,transaction,hashtag_count
0,0.1093525179856115,low_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=vanilla_today_and_everyday,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=vanilla_today_and_everyday|low_view_rate,2
1,0.07913669064748201,low_view_rate,hashtag=vanilla_today_and_everyday,hashtag=vanilla_today_and_everyday|low_view_rate,1
2,0.08992805755395683,low_view_rate,hashtag=فانيلا_اليوم_وكل_يوم,hashtag=فانيلا_اليوم_وكل_يوم|low_view_rate,1
3,1.539568345323741,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=vanilla_today_and_everyday,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=vanilla_today_and_everyday|avg_view_rate,2
4,0.5625899280575539,low_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=طعام|hashtag=وزن|hashtag=أكل|hashtag=كيك|hashtag=today_and_everyday|hashtag=food|hashtag=eating|hashtag=cake|hashtag=desserts,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=طعام|hashtag=وزن|hashtag=أكل|hashtag=كيك|hashtag=today_and_everyday|hashtag=food|hashtag=eating|hashtag=cake|hashtag=desserts|low_view_rate,10
5,0.27050359712230215,low_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=قهوة|hashtag=الليل|hashtag=today_and_everyday|hashtag=coffee|hashtag=night,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=قهوة|hashtag=الليل|hashtag=today_and_everyday|hashtag=coffee|hashtag=night|low_view_rate,6
6,0.7410071942446043,avg_view_rate,hashtag=ريجيم|hashtag=طعام|hashtag=حلويات|hashtag=فانيلا_اليوم_وكل_يوم|hashtag=كيك|hashtag=قهوة|hashtag=food|hashtag=desserts|hashtag=vanilla|hashtag=today_and_everyday|hashtag=cake|hashtag=coffee,hashtag=ريجيم|hashtag=طعام|hashtag=حلويات|hashtag=فانيلا_اليوم_وكل_يوم|hashtag=كيك|hashtag=قهوة|hashtag=food|hashtag=desserts|hashtag=vanilla|hashtag=today_and_everyday|hashtag=cake|hashtag=coffee|avg_view_rate,12
8,1.0,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=قهوة|hashtag=الصباح|hashtag=today_and_everyday|hashtag=coffee|hashtag=morning,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=قهوة|hashtag=الصباح|hashtag=today_and_everyday|hashtag=coffee|hashtag=morning|avg_view_rate,6
9,1.0503597122302157,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=كيك|hashtag=زينة|hashtag=قهوة|hashtag=طول_بالك|hashtag=today_and_everyday|hashtag=cake|hashtag=coffee,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=كيك|hashtag=زينة|hashtag=قهوة|hashtag=طول_بالك|hashtag=today_and_everyday|hashtag=cake|hashtag=coffee|avg_view_rate,8
10,0.762589928057554,avg_view_rate,hashtag=mixberries|hashtag=cake|hashtag=new|hashtag=vanilla|hashtag=today_and_everyday|hashtag=cakeandcoffee|hashtag=كيك|hashtag=مكس_بيريز|hashtag=جديد|hashtag=فانيلا_اليوم_وكل_يوم,hashtag=mixberries|hashtag=cake|hashtag=new|hashtag=vanilla|hashtag=today_and_everyday|hashtag=cakeandcoffee|hashtag=كيك|hashtag=مكس_بيريز|hashtag=جديد|hashtag=فانيلا_اليوم_وكل_يوم|avg_view_rate,10
11,1.0071942446043165,avg_view_rate,hashtag=vanilla|hashtag=today_and_everyday|hashtag=cake|hashtag=coffee|hashtag=فانيلا|hashtag=كيك|hashtag=شوكولاتة|hashtag=قهوة|hashtag=اليوم_وكل_يوم|hashtag=chocolate|hashtag=triffle,hashtag=vanilla|hashtag=today_and_everyday|hashtag=cake|hashtag=coffee|hashtag=فانيلا|hashtag=كيك|hashtag=شوكولاتة|hashtag=قهوة|hashtag=اليوم_وكل_يوم|hashtag=chocolate|hashtag=triffle|avg_view_rate,11
12,1.0287769784172662,avg_view_rate,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=كيك|hashtag=قهوة|hashtag=وينجز|hashtag=مشاريب|hashtag=today_and_everyday|hashtag=wings|hashtag=coffee|hashtag=cake|hashtag=drinks,hashtag=فانيلا_اليوم_وكل_يوم|hashtag=كيك|hashtag=قهوة|hashtag=وينجز|hashtag=مشاريب|hashtag=today_and_everyday|hashtag=wings|hashtag=coffee|hashtag=cake|hashtag=drinks|avg_view_rate,10
