week,start_date,end_date,total_posts,total_likes,total_comments,total_views,total_engagement,avg_engagement,avg_engagement_rate,avg_followers,engagement_change,engagement_change_pct,trend_status
2025-06-02/2025-06-08,2025-06-03,2025-06-07,6,1968,165,29748.0,5272.8,878.8000000000001,0.08314091683477971,10220.666666666666,0.0,0.0,stable
2025-06-09/2025-06-15,2025-06-09,2025-06-13,3,1134,113,0.0,1360.0,453.3333333333333,0.032483268525393766,13439.333333333334,-3912.8,-74.2072523137612,declining
2025-06-16/2025-06-22,2025-06-16,2025-06-22,8,2733,198,36332.0,6762.2,845.275,0.10838685429522554,8931.875,5402.2,397.2205882352941,improving
2025-06-23/2025-06-29,2025-06-23,2025-06-29,9,1860,154,33399.0,5507.9,611.9888888888888,0.07406573746642453,6959.555555555556,-1254.3000000000002,-18.548697169560203,declining
2025-06-30/2025-07-06,2025-07-01,2025-07-06,7,1366,91,14547.0,3002.7,428.95714285714286,0.09124231253573399,6851.142857142857,-2505.2,-45.483759690626194,declining
2025-07-07/2025-07-13,2025-07-07,2025-07-12,5,1022,59,14755.0,2615.5,523.1,0.07133669694786719,7493.6,-387.1999999999998,-12.895061111666163,declining
2025-07-14/2025-07-20,2025-07-14,2025-07-19,9,1747,124,4612.0,2456.2,272.9111111111111,0.049257949123341395,5169.111111111111,-159.30000000000018,-6.090613649397825,stable
2025-07-21/2025-07-27,2025-07-22,2025-07-27,5,1008,72,19512.0,3103.2,620.64,0.12543317199845122,5652.4,647.0,26.341503134923872,improving
2025-07-28/2025-08-03,2025-07-28,2025-08-03,10,1534,131,11585.0,2954.5,295.45,0.06159902342724368,5139.0,-148.69999999999982,-4.791827790667691,stable
2025-08-04/2025-08-10,2025-08-06,2025-08-10,3,411,21,344.0,487.4,162.46666666666667,0.041098901244859265,5140.666666666667,-2467.1,-83.50313081739719,declining
2025-08-11/2025-08-17,2025-08-11,2025-08-16,11,1868,181,36908.0,5920.8,538.2545454545455,0.10077806054190169,5782.909090909091,5433.400000000001,1114.7722609766106,improving
2025-08-18/2025-08-24,2025-08-21,2025-08-24,3,380,35,0.0,450.0,150.0,0.024944458436799568,5238.666666666667,-5470.8,-92.39967571949737,declining
2025-08-25/2025-08-31,2025-08-25,2025-08-31,8,1670,116,53161.0,7218.1,902.2625,0.11541073936508947,7124.5,6768.1,1504.0222222222224,improving
2025-09-01/2025-09-07,2025-09-02,2025-09-07,6,711,39,23427.0,3131.7,521.9499999999999,0.10290496090066635,4110.666666666667,-4086.4000000000005,-56.6132361701833,declining
2025-09-08/2025-09-14,2025-09-09,2025-09-14,10,1228,93,17658.0,3179.8,317.98,0.07667103718175325,4552.9,48.100000000000364,1.5359070153590837,stable
2025-09-15/2025-09-21,2025-09-15,2025-09-21,11,2134,160,20444.0,4498.400000000001,408.9454545454546,0.08632951832538706,6086.909090909091,1318.6000000000004,41.46801685640607,improving
2025-09-22/2025-09-28,2025-09-22,2025-09-26,6,1566,137,6500.0,2490.0,415.0,0.05417539113572861,9326.5,-2008.4000000000005,-44.64698559487819,declining
2025-09-29/2025-10-05,2025-09-29,2025-10-03,8,1630,97,18051.0,3629.1,453.6375,0.06766431252353063,6215.375,1139.1,45.74698795180723,improving
2025-10-06/2025-10-12,2025-10-07,2025-10-12,7,1726,151,73445.0,9372.5,1338.9285714285713,0.13457029922532104,9125.285714285714,5743.4,158.25962359813727,improving
2025-10-13/2025-10-19,2025-10-13,2025-10-18,11,1637,121,19910.0,3870.0,351.8181818181818,0.06003081752453971,4591.090909090909,-5502.5,-58.70898906375033,declining
2025-10-20/2025-10-26,2025-10-23,2025-10-26,8,1959,163,5678.0,2852.8,356.6,0.06266073240317928,7056.25,-1017.1999999999998,-26.28423772609819,declining
2025-10-27/2025-11-02,2025-10-27,2025-11-02,10,3092,199,35003.0,6990.3,699.03,0.11193870984580274,9411.1,4137.5,145.03295008412786,improving
2025-11-03/2025-11-09,2025-11-03,2025-11-09,7,1205,111,8141.0,2241.1,320.15714285714284,0.07244007790646685,6627.0,-4749.200000000001,-67.93985951962004,declining
2025-11-10/2025-11-16,2025-11-10,2025-11-16,10,1645,107,10459.0,2904.9,290.49,0.05006994801481984,6680.4,663.8000000000002,29.61938333853913,improving
2025-11-17/2025-11-23,2025-11-17,2025-11-23,5,1474,113,36552.0,5355.2,1071.04,0.12019272834298253,9300.2,2450.2999999999997,84.35058005439085,improving
2025-11-24/2025-11-30,2025-11-24,2025-11-30,5,1207,87,39906.0,5371.599999999999,1074.32,0.09735966690484128,7578.0,16.399999999999636,0.3062443979683138,stable
2025-12-01/2025-12-07,2025-12-01,2025-12-07,8,1486,119,8517.0,2575.7000000000003,321.96250000000003,0.06030427925721079,6367.375,-2795.899999999999,-52.04966862759698,declining
2025-12-08/2025-12-14,2025-12-10,2025-12-14,4,899,71,22509.0,3291.9,822.975,0.1299078662219619,7976.75,716.1999999999998,27.806033311332822,improving
2025-12-15/2025-12-21,2025-12-17,2025-12-21,5,895,82,32732.0,4332.2,866.4399999999999,0.11134918833302829,5933.0,1040.2999999999997,31.601810504571826,improving
2025-12-22/2025-12-28,2025-12-22,2025-12-28,7,1933,196,66323.0,8957.300000000001,1279.6142857142859,0.14106193809883255,9505.42857142857,4625.100000000001,106.7609990305157,improving
2025-12-29/2026-01-04,2025-12-29,2026-01-04,11,2064,172,55097.0,7917.7,719.790909090909,0.10425374001612608,7001.636363636364,-1039.6000000000013,-11.606175968204713,declining
2026-01-05/2026-01-11,2026-01-05,2026-01-11,7,1488,140,4336.0,2201.6,314.5142857142857,0.03802437891143281,6853.0,-5716.1,-72.19394521136189,declining
2026-01-12/2026-01-18,2026-01-12,2026-01-17,8,1793,128,48450.0,6894.0,861.75,0.10451257594138567,7259.0,4692.4,213.13590116279073,improving
2026-01-19/2026-01-25,2026-01-20,2026-01-24,7,1210,98,27217.0,4127.7,589.6714285714286,0.10542821867228691,4949.857142857143,-2766.3,-40.126196692776325,declining
2026-01-26/2026-02-01,2026-01-28,2026-02-01,8,915,57,23108.0,3339.8,417.475,0.11791134051325805,4174.875,-787.8999999999996,-19.08811202364512,declining
2026-02-02/2026-02-08,2026-02-02,2026-02-08,9,1235,106,16135.0,3060.5,340.05555555555554,0.0811541262411225,4555.777777777777,-279.3000000000002,-8.362776214144564,stable
2026-02-09/2026-02-15,2026-02-09,2026-02-15,6,758,71,2357.0,1135.7,189.28333333333333,0.04513777603508914,4778.166666666667,-1924.8,-62.891684365299795,declining
2026-02-16/2026-02-22,2026-02-16,2026-02-22,7,1026,70,19334.0,3099.4,442.7714285714286,0.11543245200110862,4705.0,1963.7,172.9065774412257,improving
2026-02-23/2026-03-01,2026-02-25,2026-02-28,5,621,36,7541.0,1447.1,289.41999999999996,0.09199869104185085,3744.8,-1652.3000000000002,-53.31031812608893,declining
2026-03-02/2026-03-08,2026-03-02,2026-03-08,9,2301,189,78484.0,10527.4,1169.711111111111,0.1132463519284983,8640.333333333334,9080.3,627.4825513095157,improving
2026-03-09/2026-03-15,2026-03-09,2026-03-15,8,1388,108,15799.0,3183.9,397.9875,0.0877228201173464,6307.625,-7343.5,-69.75606512529208,declining
