topic_id,ngram_size,rank,term,score
0,1,1,فانيلا,0.32552967892563694
0,1,2,رمضان,0.23683305902400045
0,1,3,شو,0.09473322360960018
0,1,4,فرع,0.07998029681720116
0,1,5,نابلس,0.059187214350115806
0,1,6,عجيب,0.04736661180480009
0,1,7,فيكم,0.04736661180480009
0,1,8,كريم,0.04736661180480009
0,1,9,شاركونا,0.04736661180480009
0,1,10,بالتعليقات,0.04736661180480009
0,1,11,ايام,0.04736661180480009
0,1,12,مشاريب,0.04736661180480009
0,1,13,البوفيه,0.04736661180480009
0,1,14,ramadan,0.04736661180480009
0,1,15,الان,0.04736661180480009
1,1,1,cake,0.5644521240072011
1,1,2,new,0.3078829767312006
1,1,3,vanilla,0.30325862543188775
1,1,4,coffee,0.1539414883656003
1,1,5,cheesecake,0.1026276589104002
1,1,6,freshly,0.1026276589104002
1,1,7,taste,0.0513138294552001
1,1,8,cream,0.0513138294552001
1,1,9,berries,0.0513138294552001
1,1,10,hot,0.0513138294552001
1,1,11,favorite,0.0513138294552001
2,1,1,فانيلا,0.2085814481615527
2,1,2,الان,0.11128300363778336
2,1,3,كيك,0.08902640291022669
2,1,4,فرع,0.07516220664749025
2,1,5,كيكه,0.06676980218267001
2,1,6,للحجز,0.06676980218267001
2,1,7,وفرع,0.06676980218267001
2,1,8,يوم,0.06440830056005846
2,1,9,الطيره,0.06440830056005846
2,1,10,الرمضاني,0.056371654985617685
2,1,11,بوفيه,0.056371654985617685
2,1,12,شو,0.044513201455113345
2,1,13,عجيب,0.044513201455113345
2,1,14,تشيزكيك,0.044513201455113345
2,1,15,سان,0.044513201455113345
3,1,1,vanilla,0.29242796023789175
3,1,2,فانيلا,0.09617922331893819
3,1,3,cake,0.07697074418280014
3,1,4,فقط,0.07697074418280014
3,1,5,coffee,0.07697074418280014
3,1,6,اليوم,0.06498399116397593
3,1,7,وكل,0.06498399116397593
3,1,8,يوم,0.05568634319255054
3,1,9,علي,0.05568634319255054
3,1,10,فيكم,0.03848537209140007
3,1,11,شاركونا,0.03848537209140007
3,1,12,new,0.03848537209140007
3,1,13,تشيزكيك,0.03848537209140007
3,1,14,بمناسبه,0.03848537209140007
3,1,15,سان,0.03848537209140007
4,1,1,فانيلا,0.23674885740046323
4,1,2,وكل,0.15996059363440232
4,1,3,اليوم,0.15996059363440232
4,1,4,يوم,0.13707407555089363
4,1,5,الطيره,0.06853703777544681
4,1,6,نابلس,0.059187214350115806
4,1,7,وفرع,0.04736661180480009
4,1,8,مشاريب,0.04736661180480009
4,1,9,فرعنا,0.04736661180480009
4,1,10,بمناسبه,0.04736661180480009
4,1,11,لقمه,0.04736661180480009
4,1,12,للحجز,0.04736661180480009
