business_name,sector,followers_count,post_date,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,view_rate,view_rate_bin
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-05,Wednesday,February,reel,شاركونا إجابتكم بالتعليقات 👇 #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday,83,2,1,106,7,15200,Arabic,True,False,False,False,False,True,0,0.1093525179856115,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-04,Tuesday,February,reel,What’s your favorite cake ❤️🍰? #VANILLA_Today_and_everyday,65,1,2,71,0,11000,English,True,False,False,False,False,False,0,0.07913669064748201,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-01,Saturday,February,reel,كل يوم له بداية… وأجمل بداية بطاقة إيجابية #فانيلا_اليوم_وكل_يوم,72,1,0,153,1,12500,Arabic,False,False,False,False,False,True,0,0.08992805755395683,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-01-24,Friday,January,reel,ومن أهم فوائدها إنها تذهب الحزن.. التلبينة النبوية.. صحية، فوائدها كثيرة ولذيذة هي طبق تقليدي قديم ذكرها الرسول محمد صلى الله عليه وسلم في أحاديث لها فيها من فوائد وشفاء #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday,239,2,0,1313,0,214000,Arabic,False,False,False,True,False,True,0,1.539568345323741,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-10-03,Tuesday,October,reel,استمر بالأكل أنت بأمان 😜🤤 #فانيلا_اليوم_وكل_يوم #طعام #وزن #أكل #كيك VANILLA #Today_and_Everyday #Food #Eating #Cake #Desserts,142,10,2,963,5,78200,Mixed,False,False,False,False,False,True,0,0.5625899280575539,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-10-01,Sunday,October,reel,شرب القهوة بالليل يؤذي المعدة؟ 🤔 #فانيلا_اليوم_وكل_يوم #قهوة #الليل VANILLA #Today_and_Everyday #Coffee #Night,123,6,1,442,2,37600,Mixed,False,False,False,False,False,True,0,0.27050359712230215,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-23,Saturday,September,reel,عرفتوا ايش هو الريجيم الصحيح؟ 🤔 #ريجيم #طعام #حلويات #فانيلا_اليوم_وكل_يوم #كيك #قهوة Diet #Food #Desserts #VANILLA #Today_and_Everyday #Cake #Coffee,177,12,1,557,5,103000,Mixed,True,False,False,False,False,True,0,0.7410071942446043,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-20,Wednesday,September,reel,تنفسنا أم لِجين ستبقى حينين 💕 PS💕,35,0,2,327,1,13100,Arabic,False,False,False,False,False,True,0,0.09424460431654676,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-19,Tuesday,September,reel,مين فيكم تركيزه هيك الصبح؟ 😂 #فانيلا_اليوم_وكل_يوم #قهوة #الصباح VANILLA #Today_and_Everyday #Coffee #Morning,124,6,1,467,9,139000,Mixed,True,False,False,False,False,True,0,1.0,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-18,Monday,September,reel,طول بالك! 😂🤭 لما تتعب بالزينة بالاخر يغير رأيه الزبون ويصير بده اياها برا! #فانيلا_اليوم_وكل_يوم #كيك #زينة #قهوة #طول_بالك VANILLA #Today_and_Everyday #Cake #Coffee,201,8,2,885,3,146000,Mixed,False,False,False,False,False,True,0,1.0503597122302157,avg_view_rate
