week,posts_count,engagement_mean,engagement_rate_mean,view_rate_mean,comment_rate_mean
2025-02-10/2025-02-16,1,6608.0,0.07569301260022909,6.174112256586484,0.037800687285223365
2025-03-24/2025-03-30,1,3983.0,0.045624284077892326,11.45475372279496,0.022909507445589918
2025-05-05/2025-05-11,2,3958.0,0.04533791523482245,6.597938144329897,0.02290950744558992
2025-02-03/2025-02-09,4,5404.5,0.03888129496402878,1.475179856115108,0.0013309352517985613
2025-04-07/2025-04-13,1,3211.0,0.036781214203894616,5.853379152348224,0.018327605956471937
2025-04-14/2025-04-20,1,1497.0,0.017147766323024054,11.45475372279496,0.00859106529209622
2026-02-02/2026-02-08,2,2137.5,0.015377697841726618,1.7266187050359711,7.194244604316547e-05
2025-02-17/2025-02-23,4,1755.75,0.014974574979191906,3.3936908205394447,0.003173438568732643
2025-01-20/2025-01-26,3,1962.0,0.014115107913669066,1.8129496402877698,9.35251798561151e-05
2025-04-28/2025-05-04,3,1220.6666666666667,0.013982436044291715,2.8560519282168766,0.0070255822833142426
2026-03-23/2026-03-29,2,1788.5,0.012866906474820142,2.0251798561151078,0.0002697841726618705
2026-03-02/2026-03-08,2,1765.0,0.012697841726618704,1.9964028776978417,0.00037769784172661866
2026-03-09/2026-03-15,3,1743.6666666666667,0.012544364508393286,1.9496402877697843,0.00035731414868105517
2026-04-13/2026-04-19,1,1506.0,0.01083453237410072,1.39568345323741,0.00025899280575539566
2026-03-30/2026-04-05,2,1493.5,0.010744604316546762,1.5431654676258995,0.00045683453237410073
2026-02-23/2026-03-01,1,1382.0,0.009942446043165468,1.2877697841726619,0.0003741007194244604
2025-03-10/2025-03-16,7,1012.5714285714286,0.009806907934624317,3.358300222855589,0.003400275950079406
2026-02-16/2026-02-22,2,1322.5,0.009514388489208634,1.7985611510791366,0.0006510791366906475
2023-09-11/2023-09-17,3,1298.0,0.009338129496402878,0.932853717026379,7.194244604316547e-05
2025-02-24/2025-03-02,5,1116.6,0.009007898011487717,3.082858249482888,0.0013325372691537492
2026-04-06/2026-04-12,2,1244.0,0.008949640287769785,1.1546762589928057,0.00015467625899280577
2026-03-16/2026-03-22,2,1180.5,0.008492805755395683,1.2122302158273381,0.00018345323741007194
2025-03-17/2025-03-23,4,626.25,0.007173539518900344,3.357101947308133,0.0035967926689576177
2025-03-03/2025-03-09,6,676.8333333333334,0.007103941588996844,1.7010677368757914,0.003038094610222475
2023-10-02/2023-10-08,1,968.0,0.006964028776978417,0.5625899280575539,3.597122302158273e-05
2024-12-30/2025-01-05,1,853.0,0.006136690647482014,3.9424460431654675,7.194244604316547e-05
2025-01-06/2025-01-12,3,806.0,0.005798561151079136,2.323741007194245,0.0001870503597122302
2025-04-21/2025-04-27,2,484.0,0.0055441008018327605,3.482245131729668,0.00274914089347079
2025-01-13/2025-01-19,1,654.0,0.004705035971223022,2.5035971223021583,0.00015107913669064747
2023-08-07/2023-08-13,2,634.5,0.004564748201438849,0.9820143884892086,0.00015467625899280577
2023-09-18/2023-09-24,4,563.5,0.004053956834532374,0.7214028776978417,3.237410071942446e-05
2026-01-05/2026-01-11,1,552.0,0.003971223021582734,3.323741007194245,7.913669064748202e-05
2026-01-26/2026-02-01,1,525.0,0.003776978417266187,2.4748201438848922,7.194244604316547e-05
2023-08-21/2023-08-27,3,469.6666666666667,0.0033788968824940047,0.8369304556354916,0.0002446043165467626
2023-09-25/2023-10-01,1,444.0,0.0031942446043165466,0.27050359712230215,1.4388489208633093e-05
2025-01-27/2025-02-02,2,349.5,0.002514388489208633,0.19424460431654675,0.00010791366906474819
2023-08-14/2023-08-20,2,327.5,0.002356115107913669,1.4964028776978417,8.273381294964029e-05
2023-09-04/2023-09-10,4,212.5,0.0015287769784172662,0.6848920863309352,1.618705035971223e-05
2026-01-12/2026-01-18,1,61.0,0.00043884892086330936,1.4244604316546763,5.035971223021583e-05
2026-01-19/2026-01-25,2,27.0,0.00019424460431654677,2.5305755395683454,0.0
