business_name,sector,followers_count,post_date,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,hashtags,hashtag_count,view_rate,engagement,engagement_rate,view_rate_ratio,performance_label
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-05,Wednesday,February,reel,شاركونا إجابتكم بالتعليقات 👇 #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday,83,2,1,106,7,15200,Arabic,True,False,False,False,False,True,0,"['فانيلا_اليوم_وكل_يوم', 'vanilla_today_and_everyday']",2,0.1093525179856115,113,0.0008129496402877698,0.10201342281879194,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-04,Tuesday,February,reel,What’s your favorite cake ❤️🍰? #VANILLA_Today_and_everyday,65,1,2,71,0,11000,English,True,False,False,False,False,False,0,['vanilla_today_and_everyday'],1,0.07913669064748201,71,0.0005107913669064748,0.07382550335570469,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-02-01,Saturday,February,reel,كل يوم له بداية… وأجمل بداية بطاقة إيجابية #فانيلا_اليوم_وكل_يوم,72,1,0,153,1,12500,Arabic,False,False,False,False,False,True,0,['فانيلا_اليوم_وكل_يوم'],1,0.08992805755395683,154,0.0011079136690647481,0.08389261744966442,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2025-01-24,Friday,January,reel,ومن أهم فوائدها إنها تذهب الحزن.. التلبينة النبوية.. صحية، فوائدها كثيرة ولذيذة هي طبق تقليدي قديم ذكرها الرسول محمد صلى الله عليه وسلم في أحاديث لها فيها من فوائد وشفاء #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday,239,2,0,1313,0,214000,Arabic,False,False,False,True,False,True,0,"['فانيلا_اليوم_وكل_يوم', 'vanilla_today_and_everyday']",2,1.539568345323741,1313,0.009446043165467625,1.436241610738255,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-10-03,Tuesday,October,reel,استمر بالأكل أنت بأمان 😜🤤 #فانيلا_اليوم_وكل_يوم #طعام #وزن #أكل #كيك VANILLA #Today_and_Everyday #Food #Eating #Cake #Desserts,142,10,2,963,5,78200,Mixed,False,False,False,False,False,True,0,"['فانيلا_اليوم_وكل_يوم', 'طعام', 'وزن', 'أكل', 'كيك', 'today_and_everyday', 'food', 'eating', 'cake', 'desserts']",10,0.5625899280575539,968,0.006964028776978417,0.5248322147651007,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-10-01,Sunday,October,reel,شرب القهوة بالليل يؤذي المعدة؟ 🤔 #فانيلا_اليوم_وكل_يوم #قهوة #الليل VANILLA #Today_and_Everyday #Coffee #Night,123,6,1,442,2,37600,Mixed,False,False,False,False,False,True,0,"['فانيلا_اليوم_وكل_يوم', 'قهوة', 'الليل', 'today_and_everyday', 'coffee', 'night']",6,0.27050359712230215,444,0.0031942446043165466,0.2523489932885906,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-23,Saturday,September,reel,عرفتوا ايش هو الريجيم الصحيح؟ 🤔 #ريجيم #طعام #حلويات #فانيلا_اليوم_وكل_يوم #كيك #قهوة Diet #Food #Desserts #VANILLA #Today_and_Everyday #Cake #Coffee,177,12,1,557,5,103000,Mixed,True,False,False,False,False,True,0,"['ريجيم', 'طعام', 'حلويات', 'فانيلا_اليوم_وكل_يوم', 'كيك', 'قهوة', 'food', 'desserts', 'vanilla', 'today_and_everyday', 'cake', 'coffee']",12,0.7410071942446043,562,0.004043165467625899,0.6912751677852349,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-20,Wednesday,September,reel,تنفسنا أم لِجين ستبقى حينين 💕 PS💕,35,0,2,327,1,13100,Arabic,False,False,False,False,False,True,0,[],0,0.09424460431654676,328,0.0023597122302158272,0.08791946308724832,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-19,Tuesday,September,reel,مين فيكم تركيزه هيك الصبح؟ 😂 #فانيلا_اليوم_وكل_يوم #قهوة #الصباح VANILLA #Today_and_Everyday #Coffee #Morning,124,6,1,467,9,139000,Mixed,True,False,False,False,False,True,0,"['فانيلا_اليوم_وكل_يوم', 'قهوة', 'الصباح', 'today_and_everyday', 'coffee', 'morning']",6,1.0,476,0.0034244604316546762,0.9328859060402684,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-18,Monday,September,reel,طول بالك! 😂🤭 لما تتعب بالزينة بالاخر يغير رأيه الزبون ويصير بده اياها برا! #فانيلا_اليوم_وكل_يوم #كيك #زينة #قهوة #طول_بالك VANILLA #Today_and_Everyday #Cake #Coffee,201,8,2,885,3,146000,Mixed,False,False,False,False,False,True,0,"['فانيلا_اليوم_وكل_يوم', 'كيك', 'زينة', 'قهوة', 'طول_بالك', 'today_and_everyday', 'cake', 'coffee']",8,1.0503597122302157,888,0.006388489208633093,0.9798657718120805,avg_view_rate
